Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2020-03-17,1.533,1.462,0.816,0.056460833,5.5146,1.43,,,,,
2020-03-18,1.5717,1.462,0.816,0.052921667,5.5146,1.81,,,,,
2020-03-19,1.7061,1.462,0.816,0.040784167,5.5146,2.18,,,,,
2020-03-20,2.7453,1.462,0.816,0.045283333,4.7268,1.5,,,,,
2020-03-21,1.9635,1.462,0.725333333,0.058080833,5.252,1.01,,,,,
2020-03-22,2.4336,1.462,0.544,0.05728,5.252,0.79,,,,,
2020-03-23,2.4285,1.462,0.544,0.057209167,5.5146,0.72,,,,,
2020-03-24,2.0304,1.462,0.544,0.055325833,7.6154,2.01,,,,,
2020-03-25,1.9668,1.462,0.544,0.058168333,7.6154,2.2,,,,,
2020-03-26,2.0277,1.326,0.102,0.0443025,7.878,2.18,,,,,
2020-03-27,2.2728,1.326,0.0,0.042905,7.3528,1.98,,,,,
2020-03-28,2.1069,1.326,0.0,0.044906667,7.3528,1.89,,,,,
2020-03-29,2.7171,1.235333333,0.0,0.047476667,7.3528,2.68,,,,,
2020-03-30,2.6031,1.19,0.0,0.032019167,7.3528,2.95,,,,,
2020-03-31,2.6685,1.19,0.0,0.048815,4.9894,1.37,,,,,
2020-04-01,2.5668,1.19,0.0,0.023839167,5.5146,2.09,,,,,
2020-04-02,2.0922,1.19,0.0,0.0325175,5.252,2.27,,,,,
2020-04-03,1.8969,1.19,0.0,0.036164167,4.3329,1.57,,,,,
2020-04-04,2.142,1.19,0.0,0.07082,4.3329,0.46,,,,,
2020-04-05,1.7835,1.201333333,0.0,0.082865,5.1207,0.65,,,,,
2020-04-06,1.0245,1.439333333,0.0,0.055803333,9.0597,3.5,,,,,
2020-04-07,1.3821,1.450666667,0.0,0.052598333,10.6353,4.94,,,,,
2020-04-08,0.8247,1.439333333,0.0,0.040076667,7.878,3.2,,,,,
2020-04-09,0.8979,0.646,0.0,0.050819167,7.4841,2.65,,,,,
2020-04-10,1.2741,0.646,0.0,0.0554775,7.4841,2.8,,,,,
2020-04-11,1.1445,0.646,0.0,0.056150833,9.4536,4.26,,,,,
2020-04-12,1.0506,0.646,0.0,0.0548575,9.4536,4.97,,,,,
2020-04-13,1.7043,0.238,0.0,0.046585,9.4536,4.89,,,,,
2020-04-14,1.5732,0.238,0.0,0.0319675,9.4536,6.11,,,,,
2020-04-15,1.4679,0.238,0.0,0.049496667,11.0292,5.17,,,,,
2020-04-16,1.4007,0.238,0.0,0.055015,11.0292,4.87,,,,,
2020-04-17,1.1868,0.238,0.0,0.056165,8.6658,3.25,,,,,
2020-04-18,1.935,0.249333333,0.0,0.0229375,5.1207,2.14,,,,,
2020-04-19,0.7509,0.260666667,0.0,0.05469,7.0902,2.01,,,,,
2020-04-20,1.4259,0.0,0.0,0.061606667,7.0902,1.66,,,,,
2020-04-21,1.1475,0.0,0.0,0.065116667,7.878,2.36,,,,,
2020-04-22,0.9294,0.0,0.0,0.06622,7.878,1.95,,,,,
2020-04-23,0.8499,0.0,0.0,0.060101667,9.0597,3.43,,,,,
2020-04-24,0.7602,0.0,0.0,0.059560833,9.0597,3.14,,,,,
2020-04-25,1.3149,0.0,0.0,0.029329167,9.0597,4.14,,,,,
2020-04-26,1.3608,0.0,0.0,0.048060833,9.0597,3.35,,,,,
2020-04-27,1.0686,0.0,0.0,0.064114167,9.4536,3.1,,,,,
2020-04-28,3.681,0.0,0.0,0.013859167,9.4536,4.98,,,,,
2020-04-29,1.3779,0.0,0.0,0.030959167,9.4536,4.67,,,,,
2020-04-30,1.1904,0.0,0.0,0.0513875,9.4536,3.86,,,,,
2020-05-01,1.7202,0.0,0.0,0.043078333,9.4536,4.51,,,,,
2020-05-02,0.7791,0.0,0.0,0.056535833,7.4841,2.48,,,,,
2020-05-03,0.9033,0.0,0.0,0.038956667,7.4841,2.79,,,,,
2020-05-04,0.7065,0.0,0.0,0.05647,7.4841,2.32,,,,,
2020-05-05,1.1976,0.0,0.0,0.062221667,7.4841,2.24,,,,,
2020-05-06,1.1043,0.0,0.0,0.058019167,7.4841,2.05,,,,,
2020-05-07,0.9195,0.0,0.0,0.0514725,7.4841,2.33,,,,,
2020-05-08,0.6576,0.0,0.0,0.0522725,7.4841,2.51,,,,,
2020-05-09,0.4248,0.0,0.0,0.066065833,7.4841,2.34,,,,,
2020-05-10,0.735,0.0,0.0,0.042858333,7.878,3.16,,,,,
2020-05-11,1.503,0.0,0.0,0.062649167,7.878,3.05,,,,,
2020-05-12,0.828,0.0,0.0,0.042461667,7.878,3.45,,,,,
2020-05-13,1.2063,0.0,0.0,0.034595,7.878,4.05,,,,,
2020-05-14,1.3491,0.0,0.0,0.061626667,6.6963,2.94,,,,,
2020-05-15,1.2231,0.0,0.0,0.062920833,7.878,3.38,,,,,
2020-05-16,0.7491,0.0,0.0,0.025748333,6.6963,2.63,,,,,
2020-05-17,0.9471,0.0,0.0,0.03173,6.6963,2.2,,,,,
2020-05-18,0.4398,0.0,0.0,0.031638333,6.6963,2.32,,,,,
2020-05-19,0.177,0.0,0.0,0.0329925,6.6963,2.71,,,,,
2020-05-20,0.1209,0.0,0.0,0.02889,6.6963,2.69,,,,,
2020-05-21,0.0411,0.0,0.0,0.021614167,6.6963,2.39,,,,,
2020-05-22,0.0,0.0,0.0,0.0163275,6.6963,3.24,,,,,
2020-05-23,0.1734,0.0,0.0,0.02373,7.0902,2.34,,,,,
2020-05-24,0.9567,0.0,0.0,0.0052625,6.3024,3.49,,,,,
2020-05-25,0.4251,0.0,0.0,0.023851667,5.5146,1.53,,,,,
2020-05-26,0.3609,0.0,0.0,0.02056,5.5146,1.61,,,,,
2020-05-27,0.1644,0.0,0.0,0.024920833,5.9085,1.66,,,,,
2020-05-28,0.585,0.0,0.0,0.024555,6.3024,2.27,,,,,
2020-05-29,0.4713,0.0,0.0,0.027046667,3.5451,1.16,,,,,
